DATE (MM/DD/YYYY),HOUR-CST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Global (stdev) [W/m^2],Avg Direct (stdev) [W/m^2],Avg Diffuse (stdev) [W/m^2],Avg CHP1 Temp [deg C],Avg CHP1 Temp (stdev) [deg C],Avg CR1000 Temp [deg C],Avg CR1000 Battery [VDC]
1/1/2016,1,-1.8954,-0.1878,-1.8048,0.0828,0.1071,0.0656,10.0503,0.0087,13.0772,13.5580
1/1/2016,2,-1.6282,-0.1922,-1.5239,0.0988,0.1042,0.0782,10.4558,0.0118,13.3543,13.4852
1/1/2016,3,-1.7083,-0.0004,-1.7328,0.0153,0.0033,0.0787,10.3570,0.0073,13.5338,13.4858
1/1/2016,4,-2.6349,-0.1622,-2.6149,0.0369,0.0611,0.0405,9.6873,0.0127,13.0952,13.5337
1/1/2016,5,-2.0361,-0.0848,-2.0330,0.0838,0.0229,0.0373,8.7193,0.0130,12.1740,13.5115
1/1/2016,6,-1.5714,-0.1811,-1.4762,0.0972,0.1208,0.0528,9.1505,0.0094,12.1463,11.4587
1/1/2016,7,-2.6264,-0.3997,-2.5773,0.0547,0.0102,0.0408,8.9648,0.0139,12.5987,11.4348
1/1/2016,8,0.9894,-0.2860,1.1389,0.1141,0.1134,0.1008,8.6010,0.0124,12.1437,13.5563
1/1/2016,9,28.9136,-0.3944,29.1033,0.3534,0.0265,0.3360,9.3435,0.0133,11.9737,13.6080
1/1/2016,10,84.8641,-0.2078,84.7717,1.4089,0.0212,1.3969,9.7182,0.0111,12.2690,13.6105
1/1/2016,11,114.2607,0.1588,113.8273,2.8580,0.1136,2.8448,9.8627,0.0127,12.6777,13.5905
1/1/2016,12,103.2996,0.1405,102.9632,4.9365,0.0922,4.9337,9.1413,0.0118,12.2895,13.5188
1/1/2016,13,84.9117,0.2292,84.7114,3.9600,0.0509,3.9607,8.6050,0.0147,11.8683,13.5065
1/1/2016,14,122.4706,0.3747,122.2500,4.6881,0.0343,4.6770,8.4431,0.0157,11.4673,13.5162
1/1/2016,15,107.9619,0.3473,107.8646,2.8103,0.0692,2.8020,8.8045,0.0131,11.8612,13.5172
1/1/2016,16,63.9902,0.0292,63.9062,1.6465,0.0337,1.6347,8.4872,0.0141,11.5528,13.5102
1/1/2016,17,15.3362,-0.1019,15.3040,0.4373,0.0568,0.4341,7.5904,0.0132,11.0608,13.5748
1/1/2016,18,2.8397,0.0000,2.9566,0.1889,0.0000,0.1827,7.0010,0.0094,10.3485,13.5625
1/1/2016,19,-1.8342,-0.0329,-1.7484,0.1303,0.0386,0.0591,6.7685,0.0102,10.0042,13.5455
1/1/2016,20,-2.1107,-0.1087,-1.9721,0.0927,0.0808,0.0661,6.6243,0.0159,9.7862,13.5407
1/1/2016,21,-2.2744,-0.0200,-2.1427,0.1339,0.0498,0.0000,6.3325,0.0121,9.6028,13.5398
1/1/2016,22,-2.1395,-0.0047,-2.0807,0.1042,0.0115,0.0833,6.3870,0.0075,9.4377,13.5518
1/1/2016,23,-1.7465,0.0000,-1.6877,0.0752,0.0000,0.1273,6.1262,0.0117,9.3320,13.5398
1/2/2016,0,-1.9185,-0.0280,-1.7857,0.1527,0.0542,0.0000,6.2911,0.0099,9.2827,13.5378
1/2/2016,1,-2.0420,-0.0218,-1.9568,0.0071,0.0545,0.1099,6.2702,0.0078,9.3015,13.5488
1/2/2016,2,-2.0474,-0.0028,-2.0648,0.0491,0.0124,0.0906,6.2035,0.0105,9.3028,13.5513
1/2/2016,3,-2.0211,0.0000,-1.9904,0.0560,0.0000,0.1349,5.9529,0.0184,9.1275,13.6253
1/2/2016,4,-1.7680,0.0000,-1.5973,0.0651,0.0000,0.1160,5.7203,0.0143,8.9748,13.6512
1/2/2016,5,-1.7296,0.0000,-1.4999,0.0511,0.0000,0.0848,5.7272,0.0073,8.8943,13.6520
1/2/2016,6,-2.0115,0.0000,-1.8138,0.0858,0.0000,0.0283,5.4518,0.0129,8.8525,11.4698
1/2/2016,7,-2.1674,0.0000,-2.1374,0.0685,0.0000,0.0155,5.2573,0.0113,8.9683,11.4363
1/2/2016,8,-0.3815,-0.0001,-0.2901,0.1267,0.0008,0.1098,5.1484,0.0115,8.7672,13.6075
1/2/2016,9,4.7308,-0.0125,4.7507,0.1653,0.0286,0.1573,5.2308,0.0147,8.4833,13.6617
1/2/2016,10,11.7023,0.0000,11.7292,0.5603,0.0000,0.5534,5.3890,0.0141,8.4550,13.6672
1/2/2016,11,26.0086,0.0003,26.0999,0.6338,0.0020,0.6347,5.2904,0.0138,8.4803,13.6198
1/2/2016,12,61.4409,0.0568,61.4730,1.4156,0.0493,1.4201,5.2970,0.0172,8.4102,13.6113
1/2/2016,13,73.5131,0.0308,73.5798,2.1397,0.0497,2.1372,5.4932,0.0127,8.5110,13.5817
1/2/2016,14,70.2547,0.0001,70.1773,2.5446,0.0008,2.5346,5.6597,0.0125,8.6297,13.6233
1/2/2016,15,41.9526,0.0000,42.0702,0.8660,0.0000,0.8632,5.5433,0.0092,8.6223,13.5982
1/2/2016,16,30.0960,0.0000,30.1837,0.6830,0.0000,0.6770,5.3599,0.0128,8.4570,13.5905
1/2/2016,17,24.9602,0.0000,24.9396,0.8438,0.0000,0.8368,5.1732,0.0099,8.3068,13.5770
1/2/2016,18,5.3230,0.0000,5.3356,0.2832,0.0000,0.2705,5.2787,0.0202,8.2930,13.5832
1/2/2016,19,-1.9582,0.0000,-1.8490,0.0855,0.0000,0.0938,5.2173,0.0141,8.2470,13.5873
