"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8641,2016-01-31 00:00:00-06,2.046183333333333,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,2.5312333333333332,0.3756
8653,2016-01-31 01:00:00-06,1.7032166666666668,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,2.80145,0.4051833333333333
8665,2016-01-31 02:00:00-06,1.8763166666666669,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,2.37355,0.5568166666666666
8677,2016-01-31 03:00:00-06,1.86495,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,2.680283333333333,0.5300166666666666
8689,2016-01-31 04:00:00-06,1.87155,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,2.46595,0.55375
8701,2016-01-31 05:00:00-06,1.9343,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,2.84095,0.5432666666666666
8713,2016-01-31 06:00:00-06,1.6631166666666668,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,3.1529166666666666,0.63065
8725,2016-01-31 07:00:00-06,2.886833333333333,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,3.1008166666666668,0.5557
8737,2016-01-31 08:00:00-06,1.7377166666666668,59.69,0.87,6.38,104.113,0,8.30918,104.625,3.18905,0.5636333333333332
8749,2016-01-31 09:00:00-06,2.855933333333333,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,3.50985,1.4370166666666668
8761,2016-01-31 10:00:00-06,4.753783333333333,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,6.067133333333333,2.8053833333333333
8773,2016-01-31 11:00:00-06,1.9680166666666667,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,7.387583333333333,0.69835
8785,2016-01-31 12:00:00-06,0.98645,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,6.285616666666666,0.5423
8797,2016-01-31 13:00:00-06,1.0873333333333333,77.0,0.05,4.22,782.034,0,93.8208,741.559,3.75885,0.5490333333333332
8809,2016-01-31 14:00:00-06,1.8544166666666668,79.65,0.03,3.05,724.258,0,99.4203,678.543,3.5808666666666666,0.5210666666666666
8821,2016-01-31 15:00:00-06,3.117566666666667,80.93,0.01,1.65,600.888,0,209.046,550.913,3.452383333333333,0.5202833333333332
8833,2016-01-31 16:00:00-06,2.1694,80.92,0.01,1.22,416.6,0,19.3617,387.267,3.73875,0.5366833333333332
8845,2016-01-31 17:00:00-06,2.586183333333333,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,4.067233333333332,0.5362166666666666
8857,2016-01-31 18:00:00-06,2.4233333333333333,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,3.816483333333333,0.3542666666666666
8869,2016-01-31 19:00:00-06,1.3338833333333333,69.17,0.0,2.21,-4.75239,0,-2.0441,-2.80463,4.226766666666666,0.3418
