,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
10,2016-01-01 00:00:00-06,0.4608666666666666,47.22,0.96,8.09,-1.7026,1
22,2016-01-01 01:00:00-06,0.3949833333333333,46.5,1.0,8.22,-1.65152,1
34,2016-01-01 02:00:00-06,0.3776,46.04,1.0,8.74,-1.7025700000000001,1
46,2016-01-01 03:00:00-06,0.4464166666666666,45.34,1.0,9.31,-1.91251,1
58,2016-01-01 04:00:00-06,0.4436833333333333,44.49,1.0,8.84,-2.3949700000000003,1
70,2016-01-01 05:00:00-06,0.589,43.88,0.98,8.61,-1.3622100000000001,1
82,2016-01-01 06:00:00-06,0.8314666666666666,42.92,0.91,8.78,-1.71973,1
94,2016-01-01 07:00:00-06,0.4731833333333332,42.73,1.0,8.86,-2.35532,1
106,2016-01-01 08:00:00-06,0.5491666666666666,42.59,1.0,9.39,8.30918,1
118,2016-01-01 09:00:00-06,1.0195,43.12,1.0,9.87,39.4862,1
130,2016-01-01 10:00:00-06,0.9142833333333332,43.68,0.98,9.9,132.175,1
142,2016-01-01 11:00:00-06,0.87875,44.52,0.92,9.26,108.83,1
154,2016-01-01 12:00:00-06,0.7446166666666666,45.93,0.97,8.81,85.2728,1
166,2016-01-01 13:00:00-06,0.69055,45.49,0.97,7.7,93.8208,1
178,2016-01-01 14:00:00-06,0.33125,46.11,0.99,8.1,99.4203,1
190,2016-01-01 15:00:00-06,0.34555,46.35,0.8,8.12,209.046,1
202,2016-01-01 16:00:00-06,0.5299666666666666,45.78,0.93,7.51,19.3617,1
214,2016-01-01 17:00:00-06,0.5728166666666666,45.16,0.97,6.56,8.87914,1
226,2016-01-01 18:00:00-06,0.5021833333333332,44.63,1.0,6.59,-1.70317,1
238,2016-01-01 19:00:00-06,1.0174833333333333,44.79,1.0,6.3,-2.0441,1
250,2016-01-01 20:00:00-06,0.6103166666666666,44.6,1.0,5.94,-2.23153,1
262,2016-01-01 21:00:00-06,0.6780166666666666,44.5,1.0,6.1,-2.17475,1
274,2016-01-01 22:00:00-06,0.6602166666666666,44.18,1.0,5.63,-2.01009,1
286,2016-01-01 23:00:00-06,0.604,44.02,1.0,5.02,-1.78865,1
298,2016-01-02 00:00:00-06,0.5076,43.86,1.0,5.13,-1.9477400000000002,0
310,2016-01-02 01:00:00-06,0.41346666666666654,43.63,0.95,5.1,-2.0442,0
322,2016-01-02 02:00:00-06,0.4255333333333333,43.31,0.9,5.04,-2.03852,0
334,2016-01-02 03:00:00-06,0.41081666666666655,43.17,0.8,4.81,-2.04445,0
346,2016-01-02 04:00:00-06,0.3990333333333333,42.76,0.91,3.62,-1.70373,0
358,2016-01-02 05:00:00-06,0.41631666666666656,43.34,0.96,4.56,-1.70375,0
370,2016-01-02 06:00:00-06,0.4322166666666665,43.16,1.0,3.72,-2.0445,0
382,2016-01-02 07:00:00-06,0.6058,43.13,0.95,3.47,-2.3000599999999998,0
394,2016-01-02 08:00:00-06,0.7074666666666666,42.82,0.82,3.6,0.834837,0
406,2016-01-02 09:00:00-06,0.8577166666666666,43.91,0.88,3.65,8.29157,0
418,2016-01-02 10:00:00-06,0.8522833333333331,44.81,0.89,4.14,13.5164,0
430,2016-01-02 11:00:00-06,0.7305833333333333,45.84,0.89,3.61,42.2416,0
442,2016-01-02 12:00:00-06,0.7308666666666666,46.48,0.88,3.53,60.1026,0
454,2016-01-02 13:00:00-06,0.8511666666666666,46.94,0.83,3.03,65.9975,0
466,2016-01-02 14:00:00-06,0.4584833333333333,47.26,0.74,3.22,36.5113,0
478,2016-01-02 15:00:00-06,0.67175,47.76,0.71,2.99,47.8015,0
490,2016-01-02 16:00:00-06,0.7570166666666666,47.1,0.7,2.88,11.0005,0
502,2016-01-02 17:00:00-06,1.25155,46.45,0.88,2.17,21.1719,0
514,2016-01-02 18:00:00-06,0.8448833333333331,44.25,0.91,1.89,-1.70375,0
526,2016-01-02 19:00:00-06,0.6613833333333332,43.67,0.8,1.9,-1.87412,0
538,2016-01-02 20:00:00-06,0.7992166666666666,42.88,0.79,2.08,-1.6128799999999999,0
550,2016-01-02 21:00:00-06,0.76805,42.91,0.82,0.66,-1.26645,0
562,2016-01-02 22:00:00-06,0.6416666666666666,42.56,0.97,1.99,-1.2891700000000001,0
574,2016-01-02 23:00:00-06,0.4888333333333332,43.0,0.82,2.3,-1.363,0
586,2016-01-03 00:00:00-06,0.4278333333333333,42.3,0.9,2.94,-1.363,0
598,2016-01-03 01:00:00-06,0.4732666666666666,42.06,0.85,3.67,-1.363,0
610,2016-01-03 02:00:00-06,0.4292833333333333,41.63,0.81,3.06,-1.29485,0
622,2016-01-03 03:00:00-06,0.4544333333333333,41.72,0.75,2.49,-0.976816,0
634,2016-01-03 04:00:00-06,0.4680666666666666,41.8,0.67,3.05,-1.02225,0
646,2016-01-03 05:00:00-06,0.4727166666666666,41.96,0.85,3.35,-1.0563200000000001,0
658,2016-01-03 06:00:00-06,0.4218833333333333,42.54,0.89,3.14,-1.36289,0
670,2016-01-03 07:00:00-06,0.57585,42.81,0.83,2.63,-1.7034599999999998,0
682,2016-01-03 08:00:00-06,0.6349166666666666,42.89,0.56,2.9,26.6194,0
694,2016-01-03 09:00:00-06,1.021283333333333,45.2,0.19,4.89,109.61200000000001,0
706,2016-01-03 10:00:00-06,0.5604666666666666,48.85,0.69,4.59,233.541,0
718,2016-01-03 11:00:00-06,1.6276666666666668,52.0,0.63,4.65,390.98199999999997,0
730,2016-01-03 12:00:00-06,1.2631666666666668,54.16,0.59,4.61,306.04200000000003,0
742,2016-01-03 13:00:00-06,0.73415,57.04,0.55,4.52,192.72099999999998,0
754,2016-01-03 14:00:00-06,0.4544333333333333,58.33,0.42,5.15,142.53799999999998,0
766,2016-01-03 15:00:00-06,2.693516666666667,59.5,0.04,4.18,245.80200000000002,0
778,2016-01-03 16:00:00-06,0.7366166666666665,59.63,0.04,4.01,161.54399999999998,0
790,2016-01-03 17:00:00-06,0.7728166666666666,58.07,0.04,3.07,45.0467,0
802,2016-01-03 18:00:00-06,2.1942166666666667,53.78,0.02,2.14,-0.58436,0
814,2016-01-03 19:00:00-06,0.3666,50.92,0.0,2.25,-2.0481,0
826,2016-01-03 20:00:00-06,0.2549333333333333,47.05,0.0,2.25,-2.72382,0
838,2016-01-03 21:00:00-06,0.2442666666666666,43.99,0.0,1.77,-2.72428,0
850,2016-01-03 22:00:00-06,0.42775,41.97,0.0,3.05,-2.71922,0
862,2016-01-03 23:00:00-06,0.4445833333333333,40.57,0.0,3.07,-2.72507,0
874,2016-01-04 00:00:00-06,0.4722,42.08,0.12,2.89,-2.7253,1
886,2016-01-04 01:00:00-06,0.4944833333333332,41.0,0.13,3.31,-2.47002,1
898,2016-01-04 02:00:00-06,0.4811,41.23,0.13,3.16,-2.72553,1
910,2016-01-04 03:00:00-06,0.44376666666666653,40.04,0.13,2.39,-2.72572,1
922,2016-01-04 04:00:00-06,0.4432333333333333,38.93,0.13,3.0,-2.68624,1
934,2016-01-04 05:00:00-06,0.5406666666666666,38.64,0.13,4.52,-2.37957,1
946,2016-01-04 06:00:00-06,0.9033333333333332,37.6,0.13,3.44,-2.41364,1
958,2016-01-04 07:00:00-06,0.7267,37.06,0.13,3.32,-2.1978400000000002,1
970,2016-01-04 08:00:00-06,0.49675,37.45,0.13,3.98,48.4709,1
982,2016-01-04 09:00:00-06,0.43131666666666657,41.22,0.13,3.24,152.738,1
994,2016-01-04 10:00:00-06,0.2903833333333333,46.07,0.13,3.66,236.778,1
1006,2016-01-04 11:00:00-06,0.2466333333333333,49.51,0.12,3.25,500.024,1
1018,2016-01-04 12:00:00-06,0.22055,53.19,0.12,4.05,683.6569999999999,1
1030,2016-01-04 13:00:00-06,0.22203333333333328,55.1,0.14,3.77,719.077,1
1042,2016-01-04 14:00:00-06,0.2448,55.87,0.16,3.38,654.467,1
1054,2016-01-04 15:00:00-06,0.36433333333333323,55.98,0.14,4.38,525.263,1
1066,2016-01-04 16:00:00-06,0.4700333333333332,55.15,0.16,4.37,352.059,1
1078,2016-01-04 17:00:00-06,0.9438666666666664,53.42,0.18,4.18,137.42700000000002,1
1090,2016-01-04 18:00:00-06,2.277616666666667,50.15,0.12,3.36,2.7545599999999997,1
1102,2016-01-04 19:00:00-06,1.7708666666666668,47.16,0.04,3.08,-2.72211,1
